Datum;Kalenderwoche;Filiale;Lieferroute;Verzoegerung_Min;Umsatzverlust_EUR
2024-01-13;KW02;Filiale_05;Route_B;23;46,84
2024-01-13;KW02;Filiale_06;Route_B;15;48,33
2024-01-13;KW02;Filiale_07;Route_C;15;25,44
2024-01-13;KW02;Filiale_08;Route_C;2;0,0
2024-01-13;KW02;Filiale_09;Route_C;3;0,0
2024-01-13;KW02;Filiale_10;Route_C;7;4,34
2024-01-14;KW02;Filiale_01;Route_A;-7;0,0
2024-01-14;KW02;Filiale_02;Route_A;-1;0,0
2024-01-14;KW02;Filiale_03;Route_A;16;31,72
2024-01-14;KW02;Filiale_04;Route_B;20;55,17
2024-01-14;KW02;Filiale_05;Route_B;25;47,01
2024-01-14;KW02;Filiale_06;Route_B;14;27,17
2024-01-14;KW02;Filiale_07;Route_C;8;5,25
2024-01-14;KW02;Filiale_08;Route_C;3;0,0
2024-01-14;KW02;Filiale_09;Route_C;6;3,03
2024-01-14;KW02;Filiale_10;Route_C;-3;0,0
2024-01-15;KW03;Filiale_01;Route_A;1;0,0
2024-01-15;KW03;Filiale_02;Route_A;2;0,0
2024-01-15;KW03;Filiale_03;Route_A;-7;0,0
2024-01-15;KW03;Filiale_04;Route_B;27;156,81
2024-01-15;KW03;Filiale_05;Route_B;-4;0,0
2024-01-15;KW03;Filiale_06;Route_B;1;0,0
2024-01-15;KW03;Filiale_07;Route_C;19;42,46
2024-01-15;KW03;Filiale_08;Route_C;18;65,5
2024-01-15;KW03;Filiale_09;Route_C;13;27,5
2024-01-15;KW03;Filiale_10;Route_C;9;21,21
2024-01-16;KW03;Filiale_01;Route_A;-1;0,0
2024-01-16;KW03;Filiale_02;Route_A;1;0,0
2024-01-16;KW03;Filiale_03;Route_A;6;5,12
2024-01-16;KW03;Filiale_04;Route_B;11;34,25
2024-01-16;KW03;Filiale_05;Route_B;44;192,28
2024-01-16;KW03;Filiale_06;Route_B;21;99,85
2024-01-16;KW03;Filiale_07;Route_C;6;2,62
2024-01-16;KW03;Filiale_08;Route_C;17;48,58
2024-01-16;KW03;Filiale_09;Route_C;0;0,0
2024-01-16;KW03;Filiale_10;Route_C;7;8,77
2024-01-17;KW03;Filiale_01;Route_A;4;0,0
2024-01-17;KW03;Filiale_02;Route_A;3;0,0
2024-01-17;KW03;Filiale_03;Route_A;12;42,67
2024-01-17;KW03;Filiale_04;Route_B;15;48,31
2024-01-17;KW03;Filiale_05;Route_B;35;166,41
2024-01-17;KW03;Filiale_06;Route_B;34;206,38
2024-01-17;KW03;Filiale_07;Route_C;18;46,03
2024-01-17;KW03;Filiale_08;Route_C;4;0,0
2024-01-17;KW03;Filiale_09;Route_C;9;18,56
2024-01-17;KW03;Filiale_10;Route_C;1;0,0
2024-01-18;KW03;Filiale_01;Route_A;-1;0,0
2024-01-18;KW03;Filiale_02;Route_A;-7;0,0
2024-01-18;KW03;Filiale_03;Route_A;1;0,0
2024-01-18;KW03;Filiale_04;Route_B;25;94,38
2024-01-18;KW03;Filiale_05;Route_B;21;91,18
2024-01-18;KW03;Filiale_06;Route_B;43;193,08
2024-01-18;KW03;Filiale_07;Route_C;22;67,88
2024-01-18;KW03;Filiale_08;Route_C;3;0,0
2024-01-18;KW03;Filiale_09;Route_C;13;30,94
2024-01-18;KW03;Filiale_10;Route_C;12;36,85
2024-01-19;KW03;Filiale_01;Route_A;4;0,0
2024-01-19;KW03;Filiale_02;Route_A;8;14,49
2024-01-19;KW03;Filiale_03;Route_A;5;0,0
2024-01-19;KW03;Filiale_04;Route_B;13;48,59
2024-01-19;KW03;Filiale_05;Route_B;17;68,17
2024-01-19;KW03;Filiale_06;Route_B;46;234,3
2024-01-19;KW03;Filiale_07;Route_C;-8;0,0
2024-01-19;KW03;Filiale_08;Route_C;3;0,0
2024-01-19;KW03;Filiale_09;Route_C;10;25,01
2024-01-19;KW03;Filiale_10;Route_C;-5;0,0
2024-01-20;KW03;Filiale_01;Route_A;-6;0,0
2024-01-20;KW03;Filiale_02;Route_A;2;0,0
2024-01-20;KW03;Filiale_03;Route_A;5;0,0
2024-01-20;KW03;Filiale_04;Route_B;22;66,84
2024-01-20;KW03;Filiale_05;Route_B;27;59,0
2024-01-20;KW03;Filiale_06;Route_B;23;81,12
2024-01-20;KW03;Filiale_07;Route_C;-4;0,0
2024-01-20;KW03;Filiale_08;Route_C;0;0,0
2024-01-20;KW03;Filiale_09;Route_C;-2;0,0
2024-01-20;KW03;Filiale_10;Route_C;8;11,52
2024-01-21;KW03;Filiale_01;Route_A;7;8,93
2024-01-21;KW03;Filiale_02;Route_A;5;0,0
2024-01-21;KW03;Filiale_03;Route_A;9;9,17
2024-01-21;KW03;Filiale_04;Route_B;11;23,93
2024-01-21;KW03;Filiale_05;Route_B;19;36,29
2024-01-21;KW03;Filiale_06;Route_B;6;2,39
2024-01-21;KW03;Filiale_07;Route_C;16;26,46
2024-01-21;KW03;Filiale_08;Route_C;17;21,95
2024-01-21;KW03;Filiale_09;Route_C;-1;0,0
2024-01-21;KW03;Filiale_10;Route_C;19;59,65
2024-01-22;KW04;Filiale_01;Route_A;11;38,04
2024-01-22;KW04;Filiale_02;Route_A;7;6,31
2024-01-22;KW04;Filiale_03;Route_A;5;0,0
2024-01-22;KW04;Filiale_04;Route_B;45;319,53
2024-01-22;KW04;Filiale_05;Route_B;47;178,26
2024-01-22;KW04;Filiale_06;Route_B;25;118,9
2024-01-22;KW04;Filiale_07;Route_C;15;30,04
2024-01-22;KW04;Filiale_08;Route_C;23;84,35
2024-01-22;KW04;Filiale_09;Route_C;7;6,69
2024-01-22;KW04;Filiale_10;Route_C;6;4,74
2024-01-23;KW04;Filiale_01;Route_A;8;22,1
2024-01-23;KW04;Filiale_02;Route_A;3;0,0
2024-01-23;KW04;Filiale_03;Route_A;-5;0,0
2024-01-23;KW04;Filiale_04;Route_B;15;72,36
2024-01-23;KW04;Filiale_05;Route_B;22;97,6
2024-01-23;KW04;Filiale_06;Route_B;13;37,11
2024-01-23;KW04;Filiale_07;Route_C;8;12,25
2024-01-23;KW04;Filiale_08;Route_C;-1;0,0
2024-01-23;KW04;Filiale_09;Route_C;17;34,48
2024-01-23;KW04;Filiale_10;Route_C;16;53,3
2024-01-24;KW04;Filiale_01;Route_A;-8;0,0
2024-01-24;KW04;Filiale_02;Route_A;5;0,0
2024-01-24;KW04;Filiale_03;Route_A;10;26,07
2024-01-24;KW04;Filiale_04;Route_B;30;125,73
2024-01-24;KW04;Filiale_05;Route_B;26;105,08
2024-01-24;KW04;Filiale_06;Route_B;19;70,38
2024-01-24;KW04;Filiale_07;Route_C;9;14,21
2024-01-24;KW04;Filiale_08;Route_C;0;0,0
2024-01-24;KW04;Filiale_09;Route_C;11;28,49
2024-01-24;KW04;Filiale_10;Route_C;13;37,22
2024-01-25;KW04;Filiale_01;Route_A;4;0,0
2024-01-25;KW04;Filiale_02;Route_A;13;24,07
2024-01-25;KW04;Filiale_03;Route_A;11;25,32
2024-01-25;KW04;Filiale_04;Route_B;30;177,77
2024-01-25;KW04;Filiale_05;Route_B;41;147,28
2024-01-25;KW04;Filiale_06;Route_B;36;163,97
2024-01-25;KW04;Filiale_07;Route_C;9;12,14
2024-01-25;KW04;Filiale_08;Route_C;9;13,42
2024-01-25;KW04;Filiale_09;Route_C;3;0,0
2024-01-25;KW04;Filiale_10;Route_C;3;0,0
2024-01-26;KW04;Filiale_01;Route_A;-4;0,0
2024-01-26;KW04;Filiale_02;Route_A;8;13,88
2024-01-26;KW04;Filiale_03;Route_A;3;0,0
2024-01-26;KW04;Filiale_04;Route_B;12;36,56
2024-01-26;KW04;Filiale_05;Route_B;22;86,19
2024-01-26;KW04;Filiale_06;Route_B;24;101,41
2024-01-26;KW04;Filiale_07;Route_C;22;77,71
2024-01-26;KW04;Filiale_08;Route_C;15;44,57
2024-01-26;KW04;Filiale_09;Route_C;7;9,1
2024-01-26;KW04;Filiale_10;Route_C;6;5,4
2024-01-27;KW04;Filiale_01;Route_A;10;18,65
2024-01-27;KW04;Filiale_02;Route_A;-1;0,0
2024-01-27;KW04;Filiale_03;Route_A;6;3,08
2024-01-27;KW04;Filiale_04;Route_B;20;66,72
2024-01-27;KW04;Filiale_05;Route_B;19;38,65
2024-01-27;KW04;Filiale_06;Route_B;19;44,73
2024-01-27;KW04;Filiale_07;Route_C;6;2,71
2024-01-27;KW04;Filiale_08;Route_C;19;32,66
2024-01-27;KW04;Filiale_09;Route_C;15;21,58
2024-01-27;KW04;Filiale_10;Route_C;-4;0,0
2024-01-28;KW04;Filiale_01;Route_A;-7;0,0
2024-01-28;KW04;Filiale_02;Route_A;-8;0,0
2024-01-28;KW04;Filiale_03;Route_A;2;0,0
2024-01-28;KW04;Filiale_04;Route_B;7;8,91
2024-01-28;KW04;Filiale_05;Route_B;34;76,4
2024-01-28;KW04;Filiale_06;Route_B;27;62,71
2024-01-28;KW04;Filiale_07;Route_C;5;0,0
2024-01-28;KW04;Filiale_08;Route_C;6;2,6
2024-01-28;KW04;Filiale_09;Route_C;21;57,47
2024-01-28;KW04;Filiale_10;Route_C;9;9,32
2024-01-29;KW05;Filiale_01;Route_A;13;45,81
2024-01-29;KW05;Filiale_02;Route_A;8;10,27
2024-01-29;KW05;Filiale_03;Route_A;17;75,09
2024-01-29;KW05;Filiale_04;Route_B;43;200,22
2024-01-29;KW05;Filiale_05;Route_B;36;172,45
2024-01-29;KW05;Filiale_06;Route_B;37;239,73
2024-01-29;KW05;Filiale_07;Route_C;17;60,98
2024-01-29;KW05;Filiale_08;Route_C;1;0,0
2024-01-29;KW05;Filiale_09;Route_C;7;7,28
2024-01-29;KW05;Filiale_10;Route_C;4;0,0
2024-01-30;KW05;Filiale_01;Route_A;-2;0,0
2024-01-30;KW05;Filiale_02;Route_A;2;0,0
2024-01-30;KW05;Filiale_03;Route_A;-3;0,0
2024-01-30;KW05;Filiale_04;Route_B;20;93,81
2024-01-30;KW05;Filiale_05;Route_B;29;109,01
2024-01-30;KW05;Filiale_06;Route_B;23;114,06
2024-01-30;KW05;Filiale_07;Route_C;16;28,72
2024-01-30;KW05;Filiale_08;Route_C;1;0,0
2024-01-30;KW05;Filiale_09;Route_C;-4;0,0
2024-01-30;KW05;Filiale_10;Route_C;14;57,29
2024-01-31;KW05;Filiale_01;Route_A;6;4,66
2024-01-31;KW05;Filiale_02;Route_A;0;0,0
2024-01-31;KW05;Filiale_03;Route_A;3;0,0
2024-01-31;KW05;Filiale_04;Route_B;15;66,29
2024-01-31;KW05;Filiale_05;Route_B;41;186,72
2024-01-31;KW05;Filiale_06;Route_B;27;94,74
2024-01-31;KW05;Filiale_07;Route_C;8;11,26
2024-01-31;KW05;Filiale_08;Route_C;8;18,5
2024-01-31;KW05;Filiale_09;Route_C;8;14,82
2024-01-31;KW05;Filiale_10;Route_C;1;0,0
2024-02-01;KW05;Filiale_01;Route_A;9;14,61
2024-02-01;KW05;Filiale_02;Route_A;-7;0,0
2024-02-01;KW05;Filiale_03;Route_A;-4;0,0
2024-02-01;KW05;Filiale_04;Route_B;22;72,08
2024-02-01;KW05;Filiale_05;Route_B;12;35,93
2024-02-01;KW05;Filiale_06;Route_B;4;0,0
2024-02-01;KW05;Filiale_07;Route_C;8;10,92
2024-02-01;KW05;Filiale_08;Route_C;20;60,61
2024-02-01;KW05;Filiale_09;Route_C;9;14,19
2024-02-01;KW05;Filiale_10;Route_C;5;0,0
2024-02-02;KW05;Filiale_01;Route_A;5;0,0
2024-02-02;KW05;Filiale_02;Route_A;6;5,46
2024-02-02;KW05;Filiale_03;Route_A;11;34,38
2024-02-02;KW05;Filiale_04;Route_B;17;59,45
2024-02-02;KW05;Filiale_05;Route_B;30;178,86
2024-02-02;KW05;Filiale_06;Route_B;28;108,96
2024-02-02;KW05;Filiale_07;Route_C;11;22,62
2024-02-02;KW05;Filiale_08;Route_C;6;3,59
2024-02-02;KW05;Filiale_09;Route_C;17;44,44
2024-02-02;KW05;Filiale_10;Route_C;2;0,0
2024-02-03;KW05;Filiale_01;Route_A;1;0,0
2024-02-03;KW05;Filiale_02;Route_A;3;0,0
2024-02-03;KW05;Filiale_03;Route_A;4;0,0
2024-02-03;KW05;Filiale_04;Route_B;16;52,34
2024-02-03;KW05;Filiale_05;Route_B;29;69,17
2024-02-03;KW05;Filiale_06;Route_B;11;23,21
2024-02-03;KW05;Filiale_07;Route_C;12;14,38
2024-02-03;KW05;Filiale_08;Route_C;5;0,0
2024-02-03;KW05;Filiale_09;Route_C;4;0,0
2024-02-03;KW05;Filiale_10;Route_C;8;9,27
2024-02-04;KW05;Filiale_01;Route_A;-1;0,0
2024-02-04;KW05;Filiale_02;Route_A;-2;0,0
2024-02-04;KW05;Filiale_03;Route_A;9;8,25
2024-02-04;KW05;Filiale_04;Route_B;26;94,51
2024-02-04;KW05;Filiale_05;Route_B;19;50,95
2024-02-04;KW05;Filiale_06;Route_B;34;99,11
2024-02-04;KW05;Filiale_07;Route_C;11;10,89
2024-02-04;KW05;Filiale_08;Route_C;6;3,25
2024-02-04;KW05;Filiale_09;Route_C;8;5,55
2024-02-04;KW05;Filiale_10;Route_C;15;30,56
2024-02-05;KW06;Filiale_01;Route_A;17;86,95
2024-02-05;KW06;Filiale_02;Route_A;8;15,44
2024-02-05;KW06;Filiale_03;Route_A;11;38,4
2024-02-05;KW06;Filiale_04;Route_B;30;122,24
2024-02-05;KW06;Filiale_05;Route_B;26;83,19
2024-02-05;KW06;Filiale_06;Route_B;26;142,92
2024-02-05;KW06;Filiale_07;Route_C;24;80,02
2024-02-05;KW06;Filiale_08;Route_C;14;53,72
2024-02-05;KW06;Filiale_09;Route_C;16;49,29
2024-02-05;KW06;Filiale_10;Route_C;13;40,93
2024-02-06;KW06;Filiale_01;Route_A;2;0,0
2024-02-06;KW06;Filiale_02;Route_A;7;7,83
2024-02-06;KW06;Filiale_03;Route_A;12;24,28
2024-02-06;KW06;Filiale_04;Route_B;43;278,1
2024-02-06;KW06;Filiale_05;Route_B;27;100,95
2024-02-06;KW06;Filiale_06;Route_B;25;94,39
2024-02-06;KW06;Filiale_07;Route_C;8;10,78
2024-02-06;KW06;Filiale_08;Route_C;19;49,49
2024-02-06;KW06;Filiale_09;Route_C;6;3,92
2024-02-06;KW06;Filiale_10;Route_C;1;0,0
2024-02-07;KW06;Filiale_01;Route_A;-3;0,0
2024-02-07;KW06;Filiale_02;Route_A;7;8,61
2024-02-07;KW06;Filiale_03;Route_A;4;0,0
2024-02-07;KW06;Filiale_04;Route_B;25;107,68
2024-02-07;KW06;Filiale_05;Route_B;31;96,09
2024-02-07;KW06;Filiale_06;Route_B;36;214,12
2024-02-07;KW06;Filiale_07;Route_C;5;0,0
2024-02-07;KW06;Filiale_08;Route_C;13;39,56
2024-02-07;KW06;Filiale_09;Route_C;7;8,92
2024-02-07;KW06;Filiale_10;Route_C;3;0,0
2024-02-08;KW06;Filiale_01;Route_A;-5;0,0
2024-02-08;KW06;Filiale_02;Route_A;2;0,0
2024-02-08;KW06;Filiale_03;Route_A;-2;0,0
2024-02-08;KW06;Filiale_04;Route_B;27;152,13
2024-02-08;KW06;Filiale_05;Route_B;35;144,15
2024-02-08;KW06;Filiale_06;Route_B;24;114,0
2024-02-08;KW06;Filiale_07;Route_C;2;0,0
2024-02-08;KW06;Filiale_08;Route_C;0;0,0
2024-02-08;KW06;Filiale_09;Route_C;8;15,68
2024-02-08;KW06;Filiale_10;Route_C;3;0,0
2024-02-09;KW06;Filiale_01;Route_A;11;45,13
2024-02-09;KW06;Filiale_02;Route_A;1;0,0
2024-02-09;KW06;Filiale_03;Route_A;0;0,0
2024-02-09;KW06;Filiale_04;Route_B;30;142,21
2024-02-09;KW06;Filiale_05;Route_B;25;93,68
2024-02-09;KW06;Filiale_06;Route_B;33;143,79
2024-02-09;KW06;Filiale_07;Route_C;5;0,0
2024-02-09;KW06;Filiale_08;Route_C;6;5,31
2024-02-09;KW06;Filiale_09;Route_C;22;84,66
2024-02-09;KW06;Filiale_10;Route_C;3;0,0
2024-02-10;KW06;Filiale_01;Route_A;10;17,49
2024-02-10;KW06;Filiale_02;Route_A;11;14,93
2024-02-10;KW06;Filiale_03;Route_A;7;5,9
2024-02-10;KW06;Filiale_04;Route_B;22;70,88
2024-02-10;KW06;Filiale_05;Route_B;17;25,3
2024-02-10;KW06;Filiale_06;Route_B;43;189,66
2024-02-10;KW06;Filiale_07;Route_C;5;0,0
2024-02-10;KW06;Filiale_08;Route_C;12;21,19
2024-02-10;KW06;Filiale_09;Route_C;9;11,9
2024-02-10;KW06;Filiale_10;Route_C;1;0,0
2024-02-11;KW06;Filiale_01;Route_A;-4;0,0
2024-02-11;KW06;Filiale_02;Route_A;0;0,0
2024-02-11;KW06;Filiale_03;Route_A;8;7,65
2024-02-11;KW06;Filiale_04;Route_B;0;0,0
2024-02-11;KW06;Filiale_05;Route_B;28;75,95
2024-02-11;KW06;Filiale_06;Route_B;21;83,04
2024-02-11;KW06;Filiale_07;Route_C;9;7,69
2024-02-11;KW06;Filiale_08;Route_C;7;6,26
2024-02-11;KW06;Filiale_09;Route_C;10;12,93
2024-02-11;KW06;Filiale_10;Route_C;-2;0,0
2024-02-12;KW07;Filiale_01;Route_A;11;37,72
2024-02-12;KW07;Filiale_02;Route_A;8;9,71
2024-02-12;KW07;Filiale_03;Route_A;4;0,0
2024-02-12;KW07;Filiale_04;Route_B;26;154,82
2024-02-12;KW07;Filiale_05;Route_B;31;166,81
2024-02-12;KW07;Filiale_06;Route_B;31;178,77
2024-02-12;KW07;Filiale_07;Route_C;14;34,29
2024-02-12;KW07;Filiale_08;Route_C;21;79,24
2024-02-12;KW07;Filiale_09;Route_C;11;27,56
2024-02-12;KW07;Filiale_10;Route_C;17;65,02
2024-02-13;KW07;Filiale_01;Route_A;-1;0,0
2024-02-13;KW07;Filiale_02;Route_A;-3;0,0
2024-02-13;KW07;Filiale_03;Route_A;11;30,19
2024-02-13;KW07;Filiale_04;Route_B;29;154,93
2024-02-13;KW07;Filiale_05;Route_B;40;142,58
2024-02-13;KW07;Filiale_06;Route_B;32;129,79
2024-02-13;KW07;Filiale_07;Route_C;-1;0,0
2024-02-13;KW07;Filiale_08;Route_C;14;53,68
2024-02-13;KW07;Filiale_09;Route_C;6;4,44
2024-02-13;KW07;Filiale_10;Route_C;8;10,88
2024-02-14;KW07;Filiale_01;Route_A;8;16,63
2024-02-14;KW07;Filiale_02;Route_A;0;0,0
2024-02-14;KW07;Filiale_03;Route_A;-2;0,0
2024-02-14;KW07;Filiale_04;Route_B;33;231,01
2024-02-14;KW07;Filiale_05;Route_B;43;205,53
2024-02-14;KW07;Filiale_06;Route_B;29;190,54
2024-02-14;KW07;Filiale_07;Route_C;15;40,57
2024-02-14;KW07;Filiale_08;Route_C;8;11,67
2024-02-14;KW07;Filiale_09;Route_C;7;8,28
2024-02-14;KW07;Filiale_10;Route_C;9;15,39
2024-02-15;KW07;Filiale_01;Route_A;16;46,42
2024-02-15;KW07;Filiale_02;Route_A;1;0,0
2024-02-15;KW07;Filiale_03;Route_A;11;35,33
2024-02-15;KW07;Filiale_04;Route_B;14;54,93
2024-02-15;KW07;Filiale_05;Route_B;37;190,58
2024-02-15;KW07;Filiale_06;Route_B;40;225,76
2024-02-15;KW07;Filiale_07;Route_C;5;0,0
2024-02-15;KW07;Filiale_08;Route_C;16;43,29
2024-02-15;KW07;Filiale_09;Route_C;12;24,98
2024-02-15;KW07;Filiale_10;Route_C;21;71,52
2024-02-16;KW07;Filiale_01;Route_A;-2;0,0
2024-02-16;KW07;Filiale_02;Route_A;7;7,91
2024-02-16;KW07;Filiale_03;Route_A;1;0,0
2024-02-16;KW07;Filiale_04;Route_B;20;96,71
2024-02-16;KW07;Filiale_05;Route_B;15;53,42
2024-02-16;KW07;Filiale_06;Route_B;24;92,22
2024-02-16;KW07;Filiale_07;Route_C;5;0,0
2024-02-16;KW07;Filiale_08;Route_C;6;4,91
2024-02-16;KW07;Filiale_09;Route_C;11;25,52
2024-02-16;KW07;Filiale_10;Route_C;-1;0,0
2024-02-17;KW07;Filiale_01;Route_A;6;2,74
2024-02-17;KW07;Filiale_02;Route_A;2;0,0
2024-02-17;KW07;Filiale_03;Route_A;-4;0,0
2024-02-17;KW07;Filiale_04;Route_B;14;44,05
2024-02-17;KW07;Filiale_05;Route_B;38;136,77
2024-02-17;KW07;Filiale_06;Route_B;26;55,86
2024-02-17;KW07;Filiale_07;Route_C;8;8,74
